Type,Text
UNKNOWN(toc-head),Contents
UNKNOWN(toc-chapter),COVER PAGE
UNKNOWN(toc-chapter),TITLE PAGE
UNKNOWN(toc-chapter),FOREWORD
UNKNOWN(toc-chapter),INTRODUCTION
UNKNOWN(toc-chapter),INTRODUCTION TO THE ‘ELDER EDDA’
UNKNOWN(toc-chapter),VÖLSUNGAKVIÐA EN NÝJA (‘The New Lay of the Völsung
UNKNOWN(toc-chapter),UPPHAF
UNKNOWN(toc-chapter),I: ANDVARA-GULL
UNKNOWN(toc-chapter),II: SIGNÝ
UNKNOWN(toc-chapter),III: DAUÐI SINFJÖTLA
UNKNOWN(toc-chapter),IV: FŒDDR SIGURÐR
UNKNOWN(toc-chapter),V: REGIN
UNKNOWN(toc-chapter),VI: BRYNHILDR
UNKNOWN(toc-chapter),VII: GUÐRÚN
UNKNOWN(toc-chapter),VIII: SVIKIN BRYNHILDR
UNKNOWN(toc-chapter),IX: DEILD
UNKNOWN(toc-chapter),COMMENTARY on VÖLSUNGAKVIÐA EN NÝJA
UNKNOWN(toc-chapter),GUÐRÚNARKVIÐA EN NÝJA eða DRÁP NIFLUNGA
UNKNOWN(toc-chapter),GUÐRÚNARKVIÐA EN NÝJA (‘The New Lay of Gudrún’)
UNKNOWN(toc-chapter),COMMENTARY on GUÐRÚNARKVIÐA EN NÝJA
UNKNOWN(toc-chapter),APPENDICES
UNKNOWN(toc-chapter),APPENDIX A A short account of the ORIGINS OF THE L
UNKNOWN(toc-chapter),APPENDIX B THE PROPHECY OF THE SIBYL
UNKNOWN(toc-chapter),APPENDIX C FRAGMENTS OF A HEROIC POEM OF ATTILA IN
UNKNOWN(toc-chapter),WORKS BY J.R.R. TOLKIEN
UNKNOWN(toc-chapter),COPYRIGHT PAGE
UNKNOWN(toc-chapter),ABOUT THE PUBLISHER
UNKNOWN(toc-head),Copyright
UNKNOWN(crt2),HarperCollinsPublishers
UNKNOWN(crt),"77–85 Fulham Palace Road,"
UNKNOWN(crt),"Hammersmith, London W6 8JB"
UNKNOWN(crt1),www.tolkien.co.uk
UNKNOWN(crt1),www.tolkienestate.com
UNKNOWN(crt1),Published by HarperCollinsPublishers 2009
UNKNOWN(crt1),1
UNKNOWN(crt1),All texts and materials by J.R.R. Tolkien © The To
UNKNOWN(crt),"© The J.R.R. Tolkien Copyright Trust 1981, from Mo"
UNKNOWN(crt),© The J.R.R. Tolkien Copyright Trust 1993 and
UNKNOWN(crt),The Peoples of Middle-earth © The J.R.R. Tolkien C
UNKNOWN(crt1),"Foreword, Introduction, Commentaries, Appendices a"
