SOURCE,TITLE,BOOK,PART,AUTHOR,CHAPTER_NAME,CHAPTER_NUMBER,SPEAKER,TEXT_TYPE,TEXT,CHARACTERS,LOCATIONS,ARTIFACTS
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_EXTRA,"In his essay On Fairy-Stories (1947) my father wrote of books that he read in his childhood, and in the course of this he said:",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_CONTEXT,"I had very little desire to look for buried treasure or fight pirates, and Treasure Island left me cool. Red Indians were better: there were bows and arrows (I had and have a wholly unsatisfied desire to shoot well with a bow), and strange languages, and glimpses of an archaic mode of life, and above all, forests in such stories. But the land of Merlin and Arthur were better than these, and best of all the nameless North of Sigurd and the Völsungs, and the prince of all dragons. Such lands were pre-eminently desirable.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_CONTEXT,"I don’t much approve of The Hobbit myself, preferring my own mythology (which is just touched on) with its consistent nomenclature . . . to this rabble of Eddaic-named dwarves out of Völuspá, newfangled hobbits and gollums (invented in an idle hour) and Anglo-Saxon runes.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_STORY,"These poems stand in a complex relation to their ancient sources; they are in no sense translations. Those sources themselves, various in their nature, present obscurities, contradictions, and enigmas: and the existence of these problems underlay my father’s avowed purpose in writing the ‘New Lays’.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_STORY,"The sections of this book are each preceded by drawings made by Mr Bill Sanderson. These are derived closely from wood carvings that adorn the wide door-posts of the twelfth century church of Hylestad in the south of Norway, which are now preserved in the Oldsaksamlingen of the University of Oslo.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_STORY,"It will be seen that there is no reference in this book to the operas of Richard Wagner that are known by the general title of Der Ring des Nibelungen, or The Ring.",,,The Ring
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_EXTRA,"Many years ago my father referred to the words of William Morris concerning what he called ‘the Great Story of the North’, which, he insisted, should be to us ‘what the Tale of Troy was to the Greeks’, and which far in the future ‘should be to those that come after us no less than the Tale of Troy has been to us.’ On this my father observed: ‘How far off and remote sound now the words of William Morris! The Tale of Troy has been falling into oblivion since that time with surprising rapidity. But the Völsungs have not taken its place.’",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_EXTRA,"The poetry that goes by this misleading and unfortunate title attracts occasionally from afar people of various sort – philologists, historians, folklorists, and others of that kidney, but also poets, critics, and connoisseurs of new literary sensations. The philologists (in a wide sense) have as usual done most of the work, and their ardour has not more than usual (probably less than in Beowulf ) been diverted from at least intelligent appreciation of the literary value of these documents.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_STORY,"Let none who listen to the poets of the Elder Edda go away imagining that he has listened to voices of the Primitive Germanic forest, or that in the heroic figures he has looked upon the lineaments of his noble if savage ancestors – such as fought by, with, or against the Romans. I say this with all possible emphasis – and yet so powerful is the notion of hoary and primeval antiquity which clings to the name (quite recent) Elder Edda in popular fancy (so far as popular fancy may be said to play with so remote and unprofitable a theme at all) that, though the tale ought to begin with the seventeenth century and a learned bishop, insensibly I find myself leading off with the Stone Age.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_STORY,"Yet the sixteenth and seventeenth centuries, at the darkest hour, saw a resurrection after Ragnarök, almost as if there were fulfilled in it the words which the Völva [the sibyl who prophesies in the Eddaic poem Völuspá] speaks concerning the rearising of a new earth, and the return of men and gods to find and marvel at the golden pieces in the grass where once were the halls in which the gods had played at chess [see the tenth verse of the poem The Prophecy of the Sibyl given in Appendix B].",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_STORY,"When the ‘Elder Edda’ is mentioned, we practically mean a single manuscript – no. 2365 4° in the Royal Collection in Copenhagen: now known as the Codex Regius (of the Elder Edda). It contains 29 poems. There are 45 leaves of it left. After leaf 32 a gathering, probably of eight pages, has been lost.* There appear to have been no losses at beginning and end – where losses frequently occur.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_STORY,"This is all we know about this remarkable survivor of time, fire, and flood. In 1662 King Frederick III of Denmark sent the well-known Thormod Torfæus with an open letter to the celebrated Brynjólfr Sveinsson. Since 1639 Brynjólfr had been bishop of Skálaholt in Iceland, and had been a keen collector of manuscripts. Torfæus was commissioned to get his help in collecting for the king materials for ancient history, and any antiquities, curiosities, or rarities that could be found in Iceland. In 1663 the bishop sent the choicest of his collection to the king. Among these now priceless treasures was the Codex Regius. Where the bishop had found it, or what was its previous history is unknown, except that he had picked it up twenty years earlier: for on the front page he had written his monogram and a date (LL 1643, i.e. Lupus Loricatus = Brynjólfr), just as we should scrawl our name and a date on a new and interesting acquisition from a second-hand bookshop.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_STORY,"It may be that it was with that characteristic flourish that my father ended this lecture; at any rate (though the manuscript text continues, and soon turns to a consideration of individual poems) it seems a good place to end it here.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_STORY,"I append here a number of notes and brief statements on various topics that are best treated separately, as follows.",,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_EXTRA,§1 The ‘Prose Edda’ of Snorri Sturluson,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_EXTRA,§2 The Saga of the Völsungs (Völsunga Saga),,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_EXTRA,§3 The text of the poems,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_EXTRA,§4 The spelling of Norse names,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_EXTRA,§5 The verse-form of the poems,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,,,,TEXT_EXTRA,§6 Notes on the poems by the author,,,
The Legend of Sigurd and Gudrun - J. R. R. Tolkien,THE LEGEND OF SIGURD AND GUDRÚN,,,BY J.R.R. Tolkien,§1 THE ‘PROSE EDDA’ OF SNORRI STURLUSON,,,TEXT_EXTRA,"The name Edda properly belongs only to a celebrated work by the Icelander Snorri Sturluson (1179–1241). This is a treatise on the distinctive art of Icelandic poetry which in Snorri’s day was dying out: the old metrical rules disregarded, the old mythological knowledge essential to it attacked by a clergy hostile to any survival of heathendom. This book, in its three parts, is a retelling in prose narrative of ancient myths and legends; an account of, and explanation of, the strange diction of the old ‘court poetry’; and exemplification of its verse-forms.",,,
